ID,Product Name,Product Type,Product Description,Supplier,Brand,Tags,Option 1 Label,Option 1 Value,Option 2 Label,Option 2 Value,Option 3 Label,Option 3 Value,Variant Name,Variant SKU,Wholesale Price,Retail Price,Buy Price,Publish Online,B2B eCommerce,Sellable,Purchasable,Barcode,Supplier Code,Variant Description,Taxable,Manage Stock,Stock On Hand,Committed Stock,Uncommitted Stock,Weight Value,Weight Unit,Woocommerce
27155435,HL-014-COOL-DRY-POLO-LONG,Polo,"Cool-Dry Polo, Long sleeve and lateral stripes, available in two colours full Orange/Navy and full Yellow/Navy.",Shanghai Sino-Safe Co. Ltd.,Hard Labour Workwear,"Cool-dry,Long Sleeve,Polo",Colour,Yellow,Size,7XL,,,7XL,HL-014-yellow-7XL,14.5,12.5,5.53,TRUE,TRUE,TRUE,TRUE,,,,TRUE,TRUE,25,0,25,130,g,FALSE
27155434,,,,,,,,Yellow,,6XL,,,6XL,HL-014-yellow-6XL,14.5,12.5,5.53,TRUE,TRUE,TRUE,TRUE,,,,TRUE,TRUE,25,0,25,130,g,FALSE
27155433,,,,,,,,Yellow,,5XL,,,5XL,HL-014-yellow-5XL,14.5,12.5,5.53,TRUE,TRUE,TRUE,TRUE,,,,TRUE,TRUE,25,0,25,130,g,FALSE
27155432,,,,,,,,Yellow,,4XL,,,4XL,HL-014-yellow-4XL,14.5,12.5,5.53,TRUE,TRUE,TRUE,TRUE,,,,TRUE,TRUE,25,0,25,130,g,FALSE
27155416,,,,,,,,Orange,,S,,,S,HL-014-orange-S,11.5,8.5,5.53,TRUE,TRUE,TRUE,TRUE,,,,TRUE,TRUE,50,0,50,130,g,FALSE
27155425,,,,,,,,Orange,,7XL,,,7XL,HL-014-orange-7XL,14.5,12.5,5.53,TRUE,TRUE,TRUE,TRUE,,,,TRUE,TRUE,25,0,25,130,g,FALSE
27155424,,,,,,,,Orange,,6XL,,,6XL,HL-014-orange-6XL,14.5,12.5,5.53,TRUE,TRUE,TRUE,TRUE,,,,TRUE,TRUE,25,0,25,130,g,FALSE
27155423,,,,,,,,Orange,,5XL,,,5XL,HL-014-orange-5XL,14.5,12.5,5.53,TRUE,TRUE,TRUE,TRUE,,,,TRUE,TRUE,25,0,25,130,g,FALSE
27155422,,,,,,,,Orange,,4XL,,,4XL,HL-014-orange-4XL,14.5,12.5,5.53,TRUE,TRUE,TRUE,TRUE,,,,TRUE,TRUE,25,0,25,130,g,FALSE
27155426,,,,,,,,Yellow,,S,,,S,HL-014-yellow-S,11.5,8.5,5.53,TRUE,TRUE,TRUE,TRUE,,,,TRUE,TRUE,50,0,50,130,g,FALSE
